class_id,fdi,dice
1,11,0.728511
2,12,0.652911
3,13,0.665468
4,14,0.524370
5,15,0.651529
6,16,0.867238
7,17,0.809163
8,18,0.699122
9,21,0.838768
10,22,0.812387
11,23,0.738700
12,24,0.684113
13,25,0.705928
14,26,0.817688
15,27,0.719769
16,28,0.766209
17,31,0.646856
18,32,0.790106
19,33,0.831240
20,34,0.798655
21,35,0.885739
22,36,0.782422
23,37,0.709741
24,38,0.853498
25,41,0.497555
26,42,0.422662
27,43,0.688264
28,44,0.610806
29,45,0.345618
30,46,0.601343
31,47,0.583703
32,48,0.759139
33,51,0.375725
34,52,0.374748
35,53,0.461309
36,54,0.468848
37,55,0.512845
38,61,0.004128
39,62,0.076046
40,63,0.061002
41,64,0.000000
42,65,0.000000
43,71,0.334129
44,72,0.000000
45,73,0.000000
46,74,0.000000
47,75,0.002630
48,81,0.000000
49,82,0.115237
50,83,0.165572
51,84,0.348573
52,85,0.455839
